timestamp,admissions,discharges,staff_count,flu_cases,bed_occupancy
2019-01-01 00:00:00,11,18,31,4,55.39
2019-01-01 01:00:00,37,14,56,6,79.96
2019-01-01 02:00:00,32,25,37,15,63.39
2019-01-01 03:00:00,24,30,56,1,72.59
2019-01-01 04:00:00,24,15,50,1,71.99
2019-01-01 05:00:00,40,34,37,5,67.61
2019-01-01 06:00:00,11,29,47,10,55.0
2019-01-01 07:00:00,34,12,31,14,75.39
2019-01-01 08:00:00,15,40,55,10,55.0
2019-01-01 09:00:00,11,7,41,8,55.8
2019-01-01 10:00:00,28,30,44,15,63.58
2019-01-01 11:00:00,45,22,35,3,75.72
2019-01-01 12:00:00,35,30,43,16,61.22
2019-01-01 13:00:00,36,34,44,5,59.62
2019-01-01 14:00:00,35,31,38,4,55.0
2019-01-01 15:00:00,37,30,66,17,61.23
2019-01-01 16:00:00,27,37,40,11,57.26
2019-01-01 17:00:00,12,31,36,7,55.73
2019-01-01 18:00:00,39,36,50,5,68.5
2019-01-01 19:00:00,25,20,41,7,66.65
2019-01-01 20:00:00,27,13,46,14,81.19
2019-01-01 21:00:00,22,14,56,2,76.14
2019-01-01 22:00:00,14,28,32,3,56.76
2019-01-01 23:00:00,43,25,48,5,86.71
2019-01-02 00:00:00,37,8,30,8,78.24
2019-01-02 01:00:00,32,13,31,14,71.18
2019-01-02 02:00:00,23,41,33,3,55.0
2019-01-02 03:00:00,39,32,35,14,66.67
2019-01-02 04:00:00,28,33,42,16,61.41
2019-01-02 05:00:00,24,13,64,7,75.98
2019-01-02 06:00:00,25,8,63,17,74.68
2019-01-02 07:00:00,16,16,33,16,61.27
2019-01-02 08:00:00,11,37,66,14,55.0
2019-01-02 09:00:00,29,24,53,6,55.0
2019-01-02 10:00:00,41,35,50,5,57.51
2019-01-02 11:00:00,10,24,59,15,55.0
2019-01-02 12:00:00,40,24,47,7,64.8
2019-01-02 13:00:00,39,28,39,0,63.85
2019-01-02 14:00:00,18,41,49,12,55.0
2019-01-02 15:00:00,32,22,56,6,66.79
2019-01-02 16:00:00,14,28,55,16,55.0
2019-01-02 17:00:00,36,40,36,15,56.23
2019-01-02 18:00:00,34,19,64,1,80.66
2019-01-02 19:00:00,21,37,40,16,61.66
2019-01-02 20:00:00,10,25,60,17,61.55
2019-01-02 21:00:00,44,38,41,13,63.5
2019-01-02 22:00:00,24,23,32,4,68.04
2019-01-02 23:00:00,41,29,66,12,78.25
2019-01-03 00:00:00,33,17,51,15,77.02
2019-01-03 01:00:00,37,29,37,14,68.69
2019-01-03 02:00:00,36,18,30,7,73.87
2019-01-03 03:00:00,15,28,34,12,55.39
2019-01-03 04:00:00,21,35,36,6,55.0
2019-01-03 05:00:00,25,22,64,4,73.2
2019-01-03 06:00:00,26,21,36,12,68.4
2019-01-03 07:00:00,9,17,35,8,55.32
2019-01-03 08:00:00,28,33,60,4,60.93
2019-01-03 09:00:00,13,27,62,11,55.4
2019-01-03 10:00:00,36,25,37,5,73.75
2019-01-03 11:00:00,33,6,54,10,77.91
2019-01-03 12:00:00,43,10,49,6,80.41
2019-01-03 13:00:00,36,6,51,15,75.93
2019-01-03 14:00:00,21,37,41,15,55.0
2019-01-03 15:00:00,44,37,57,8,70.42
2019-01-03 16:00:00,23,8,62,12,73.33
2019-01-03 17:00:00,20,7,56,3,66.79
2019-01-03 18:00:00,42,34,63,17,71.04
2019-01-03 19:00:00,22,25,34,3,64.78
2019-01-03 20:00:00,10,17,54,15,55.0
2019-01-03 21:00:00,25,28,66,15,62.96
2019-01-03 22:00:00,38,14,49,3,81.97
2019-01-03 23:00:00,15,13,64,0,62.67
2019-01-04 00:00:00,25,19,42,13,62.41
2019-01-04 01:00:00,12,39,63,15,55.0
2019-01-04 02:00:00,34,34,64,12,69.74
2019-01-04 03:00:00,26,13,53,1,75.26
2019-01-04 04:00:00,20,26,56,11,68.36
2019-01-04 05:00:00,16,38,49,7,55.0
2019-01-04 06:00:00,29,41,41,16,55.0
2019-01-04 07:00:00,33,34,49,14,55.44
2019-01-04 08:00:00,43,10,65,14,78.34
2019-01-04 09:00:00,24,14,30,7,65.63
2019-01-04 10:00:00,14,14,37,5,60.29
2019-01-04 11:00:00,39,11,48,14,74.39
2019-01-04 12:00:00,31,12,42,2,69.82
2019-01-04 13:00:00,34,17,53,1,72.89
